system:time_start,0,1,2,3,4,5,6,7,8,9
"Jan 1, 2015",-0.031,0.075,-0.064,-0.02,0.121,0.119,0.048,0.023,-0.051,0.044
"Jan 9, 2015",-0.036,0.137,-0.081,-0.019,0.223,0.195,0.116,0.055,0.037,0.118
"Jan 17, 2015",-0.032,0.167,0.021,0.053,0.189,0.225,0.146,-0.005,-0.039,0.09
"Jan 25, 2015",-0.018,0.127,-0.056,0.038,0.283,0.201,0.158,-0.028,-0.019,0.137
"Feb 2, 2015",0.01,0.13,-0.036,0.007,0.275,0.261,0.162,-0.017,-0.036,0.138
"Feb 10, 2015",-0.042,0.144,-0.063,-0.008,0.234,0.243,0.172,-0.026,-0.037,0.135
"Feb 18, 2015",0.002,0.103,-0.064,0.111,0.236,0.233,0.157,-0.025,-0.027,0.144
"Feb 26, 2015",-0.028,0.098,-0.03,-0.015,0.185,0.204,0.123,-0.02,-0.049,0.14
"Mar 6, 2015",-0.023,0.088,-0.046,-0.037,0.227,0.261,0.151,-0.01,-0.028,0.2
"Mar 14, 2015",-0.012,0.057,-0.046,-0.025,0.193,0.259,0.104,-0.04,-0.016,0.077
"Mar 22, 2015",-0.043,-0.034,-0.039,-0.018,0.135,0.157,0.099,-0.081,-0.078,0.104
"Mar 30, 2015",-0.054,-0.071,-0.062,-0.039,-0.007,0.009,-0.006,-0.071,-0.074,-0.015
"Apr 7, 2015",-0.061,-0.096,-0.047,-0.1,-0.076,-0.097,-0.07,-0.057,-0.064,-0.057
"Apr 15, 2015",-0.064,-0.089,-0.063,-0.104,-0.115,-0.135,-0.124,-0.063,-0.071,-0.109
"Apr 23, 2015",-0.092,-0.1,-0.06,-0.121,-0.106,-0.128,-0.121,-0.094,-0.092,-0.108
"May 1, 2015",-0.098,-0.101,-0.055,-0.115,-0.125,-0.125,-0.115,-0.09,-0.101,-0.124
"May 9, 2015",-0.094,-0.1,-0.05,-0.094,-0.096,-0.072,-0.11,-0.096,-0.1,-0.109
"May 17, 2015",-0.097,-0.103,-0.054,-0.091,-0.079,-0.081,-0.102,-0.091,-0.105,-0.105
"May 25, 2015",-0.099,-0.109,-0.063,-0.091,-0.072,-0.08,-0.105,-0.097,-0.118,-0.11
"Jun 2, 2015",-0.11,-0.107,-0.062,-0.1,-0.067,-0.062,-0.111,-0.103,-0.091,-0.124
"Jun 10, 2015",-0.105,-0.114,-0.057,-0.095,-0.061,-0.037,-0.091,-0.093,-0.094,-0.097
"Jun 18, 2015",-0.104,-0.119,-0.055,-0.098,-0.057,-0.035,-0.086,-0.105,-0.107,-0.097
"Jun 26, 2015",-0.089,-0.083,-0.031,-0.077,-0.029,-0.01,-0.082,-0.085,-0.093,-0.066
"Jul 4, 2015",-0.071,-0.084,-0.018,-0.061,-0.01,-0.009,-0.062,-0.056,-0.078,-0.045
"Jul 12, 2015",-0.067,-0.095,0.035,-0.044,0.009,0.08,-0.038,-0.043,-0.076,0.004
"Jul 20, 2015",-0.058,-0.009,0.014,-0.005,0.068,0.169,0.031,-0,0.01,-0.011
"Jul 28, 2015",-0.022,-0.09,0,0.002,0.121,0.208,0.061,0.018,-0.002,-0.008
"Aug 5, 2015",-0.019,0.008,0.017,0.015,0.048,0.117,0.073,0.038,0.014,0.026
"Aug 13, 2015",0.031,0.038,0.052,0.003,0.225,0.176,0.063,0.036,0.084,0.136
"Aug 21, 2015",0.016,0.035,-0.008,0.02,0.167,0.113,0.108,0.015,0.003,0.071
"Aug 29, 2015",-0.03,0.013,-0.039,-0.033,0.139,0.168,0.075,0.008,-0.055,0.018
"Sep 6, 2015",-0.023,-0.032,-0.016,-0.065,0.14,0.155,0.019,-0.043,-0.078,0.017
"Sep 14, 2015",-0.049,-0.053,-0.042,-0.081,0.193,0.155,-0.024,-0.072,-0.082,-0.021
"Sep 22, 2015",-0.036,-0.037,-0.034,-0.053,0.218,0.192,0.012,-0.056,-0.043,0.041
"Sep 30, 2015",-0.079,-0.081,-0.032,-0.054,0.116,0.139,-0.032,-0.09,-0.08,0.01
"Oct 8, 2015",-0.115,-0.112,-0.057,-0.07,0.118,0.028,-0.06,-0.101,-0.105,-0.078
"Oct 16, 2015",-0.109,-0.1,-0.015,-0.077,-0.022,-0.092,-0.072,-0.093,-0.104,-0.067
"Oct 24, 2015",-0.097,-0.107,-0.045,-0.086,-0.035,-0.102,-0.065,-0.097,-0.096,-0.071
"Nov 1, 2015",-0.06,-0.053,-0.054,-0.047,-0.036,-0.029,-0.059,-0.04,-0.077,-0.065
"Nov 9, 2015",-0.098,-0.091,-0.054,-0.08,0.023,-0.065,-0.056,-0.037,-0.049,-0.096
"Nov 17, 2015",-0.118,-0.117,-0.046,-0.089,-0.063,-0.086,-0.102,-0.095,-0.035,-0.107
"Nov 25, 2015",-0.079,-0.08,-0.051,-0.072,-0.059,-0.064,-0.074,-0.073,-0.003,-0.065
"Dec 3, 2015",-0.074,-0.066,-0.041,-0.046,-0.031,-0.018,-0.066,-0.069,0.019,-0.049
"Dec 11, 2015",-0.081,-0.022,-0.054,-0.062,-0.001,0.065,-0.053,-0.056,0.04,-0.007
"Dec 19, 2015",-0.091,0.007,-0.038,-0.021,0.068,0.094,-0.025,-0.029,0.046,0.001
"Dec 27, 2015",-0.046,0.041,-0.032,-0.011,0.252,0.193,0.056,-0.052,0.057,0.098
