system:time_start,0,1,2,3,4,5,6,7,8,9
"Jan 1, 2015",0.289,0.262,0.233,0.297,0.64,0.571,0.464,0.132,0.375,0.495
"Jan 9, 2015",0.327,0.564,0.334,0.417,0.818,0.766,0.663,0.31,0.488,0.695
"Jan 17, 2015",0.348,0.72,0.049,0.563,0.731,0.758,0.688,0.415,0.407,0.632
"Jan 25, 2015",0.431,0.706,0.338,0.594,0.868,0.744,0.746,0.411,0.442,0.73
"Feb 2, 2015",0.505,0.669,0.379,0.547,0.869,0.847,0.776,0.407,0.423,0.732
"Feb 10, 2015",0.345,0.703,0.248,0.483,0.822,0.822,0.767,0.397,0.458,0.701
"Feb 18, 2015",0.46,0.66,0.271,0.727,0.837,0.827,0.76,0.416,0.397,0.748
"Feb 26, 2015",0.414,0.669,0.344,0.476,0.811,0.81,0.721,0.421,0.357,0.755
"Mar 6, 2015",0.396,0.607,0.269,0.42,0.833,0.848,0.769,0.422,0.422,0.801
"Mar 14, 2015",0.453,0.624,0.255,0.53,0.778,0.821,0.707,0.367,0.358,0.744
"Mar 22, 2015",0.378,0.453,0.275,0.484,0.716,0.755,0.677,0.261,0.303,0.71
"Mar 30, 2015",0.3,0.264,0.305,0.349,0.435,0.464,0.467,0.246,0.242,0.484
"Apr 7, 2015",0.27,0.225,0.284,0.216,0.373,0.308,0.362,0.26,0.308,0.335
"Apr 15, 2015",0.227,0.221,0.277,0.18,0.241,0.226,0.23,0.22,0.263,0.237
"Apr 23, 2015",0.192,0.231,0.243,0.202,0.219,0.21,0.21,0.195,0.233,0.244
"May 1, 2015",0.182,0.246,0.227,0.172,0.225,0.184,0.194,0.181,0.216,0.219
"May 9, 2015",0.161,0.2,0.282,0.154,0.186,0.145,0.168,0.153,0.187,0.164
"May 17, 2015",0.15,0.182,0.248,0.125,0.17,0.152,0.163,0.14,0.177,0.158
"May 25, 2015",0.147,0.175,0.234,0.131,0.173,0.151,0.164,0.145,0.177,0.163
"Jun 2, 2015",0.151,0.211,0.26,0.17,0.196,0.261,0.182,0.154,0.17,0.184
"Jun 10, 2015",0.14,0.172,0.197,0.136,0.198,0.317,0.206,0.142,0.153,0.199
"Jun 18, 2015",0.139,0.178,0.276,0.147,0.276,0.331,0.198,0.154,0.178,0.192
"Jun 26, 2015",0.148,0.177,0.272,0.138,0.226,0.306,0.18,0.172,0.142,0.257
"Jul 4, 2015",0.112,0.171,0.132,0.118,0.118,0.111,0.188,0.129,0.126,0.164
"Jul 12, 2015",0.201,0.211,0.227,0.242,0.067,0.442,0.404,0.285,0.188,0.443
"Jul 20, 2015",0.223,0.235,0.098,0.253,0.378,0.68,0.524,0.187,0.19,0.385
"Jul 28, 2015",0.381,0.258,0.172,0.112,0.627,0.709,0.343,0.407,0.274,0.434
"Aug 5, 2015",0.345,0.115,0.107,0.412,0.214,0.53,0.498,0.4,0.243,0.535
"Aug 13, 2015",0.512,0.537,0.427,0.457,0.83,0.801,0.588,0.549,0.544,0.682
"Aug 21, 2015",0.532,0.533,0.399,0.52,0.755,0.678,0.671,0.509,0.464,0.64
"Aug 29, 2015",0.425,0.547,0.32,0.407,0.726,0.757,0.614,0.487,0.376,0.545
"Sep 6, 2015",0.425,0.463,0.373,0.313,0.73,0.746,0.539,0.383,0.315,0.535
"Sep 14, 2015",0.373,0.43,0.326,0.288,0.744,0.755,0.486,0.334,0.302,0.498
"Sep 22, 2015",0.344,0.415,0.315,0.322,0.806,0.752,0.526,0.308,0.32,0.573
"Sep 30, 2015",0.251,0.356,0.352,0.332,0.695,0.716,0.449,0.252,0.294,0.534
"Oct 8, 2015",0.181,0.284,0.246,0.281,0.675,0.59,0.388,0.212,0.253,0.364
"Oct 16, 2015",0.175,0.234,0.267,0.266,0.527,0.432,0.371,0.202,0.211,0.349
"Oct 24, 2015",0.169,0.212,0.275,0.285,0.412,0.363,0.392,0.191,0.197,0.348
"Nov 1, 2015",0.122,0.173,0.479,0.216,0.278,0.203,0.376,0.118,0.251,0.261
"Nov 9, 2015",0.152,0.229,0.233,0.215,0.322,0.238,0.314,0.106,0.304,0.228
"Nov 17, 2015",0.147,0.246,0.306,0.22,0.245,0.226,0.267,0.182,0.388,0.225
"Nov 25, 2015",0.15,0.227,0.23,0.232,0.208,0.24,0.238,0.185,0.39,0.273
"Dec 3, 2015",0.231,0.324,0.239,0.32,0.27,0.229,0.263,0.265,0.516,0.328
"Dec 11, 2015",0.172,0.434,0.274,0.291,0.378,0.439,0.349,0.33,0.566,0.414
"Dec 19, 2015",0.193,0.504,0.253,0.422,0.506,0.568,0.456,0.381,0.589,0.487
"Dec 27, 2015",0.318,0.566,0.299,0.423,0.814,0.713,0.543,0.341,0.576,0.638
