system:time_start,ndvi
"Jan 1, 2015",0.289
"Jan 9, 2015",0.327
"Jan 17, 2015",0.348
"Jan 25, 2015",0.431
"Feb 2, 2015",0.505
"Feb 10, 2015",0.345
"Feb 18, 2015",0.46
"Feb 26, 2015",0.414
"Mar 6, 2015",0.396
"Mar 14, 2015",0.453
"Mar 22, 2015",0.378
"Mar 30, 2015",0.3
"Apr 7, 2015",0.27
"Apr 15, 2015",0.227
"Apr 23, 2015",0.192
"May 1, 2015",0.182
"May 9, 2015",0.161
"May 17, 2015",0.15
"May 25, 2015",0.147
"Jun 2, 2015",0.151
"Jun 10, 2015",0.14
"Jun 18, 2015",0.139
"Jun 26, 2015",0.148
"Jul 4, 2015",0.112
"Jul 12, 2015",0.201
"Jul 20, 2015",0.223
"Jul 28, 2015",0.381
"Aug 5, 2015",0.345
"Aug 13, 2015",0.512
"Aug 21, 2015",0.532
"Aug 29, 2015",0.425
"Sep 6, 2015",0.425
"Sep 14, 2015",0.373
"Sep 22, 2015",0.344
"Sep 30, 2015",0.251
"Oct 8, 2015",0.181
"Oct 16, 2015",0.175
"Oct 24, 2015",0.169
"Nov 1, 2015",0.122
"Nov 9, 2015",0.152
"Nov 17, 2015",0.147
"Nov 25, 2015",0.15
"Dec 3, 2015",0.231
"Dec 11, 2015",0.172
"Dec 19, 2015",0.193
"Dec 27, 2015",0.318
