system:time_start,0,1,2,3,4,5,6,7,8,9
"Jan 1, 2015",-0.318,-0.191,-0.292,-0.315,-0.563,-0.486,-0.425,-0.109,-0.418,-0.461
"Jan 9, 2015",-0.359,-0.463,-0.404,-0.433,-0.728,-0.671,-0.592,-0.26,-0.459,-0.628
"Jan 17, 2015",-0.375,-0.628,-0.028,-0.526,-0.629,-0.642,-0.603,-0.419,-0.439,-0.575
"Jan 25, 2015",-0.446,-0.635,-0.387,-0.569,-0.776,-0.639,-0.666,-0.434,-0.457,-0.659
"Feb 2, 2015",-0.497,-0.59,-0.409,-0.542,-0.781,-0.752,-0.702,-0.42,-0.453,-0.661
"Feb 10, 2015",-0.381,-0.621,-0.306,-0.489,-0.728,-0.723,-0.685,-0.419,-0.486,-0.625
"Feb 18, 2015",-0.458,-0.597,-0.329,-0.67,-0.749,-0.737,-0.685,-0.436,-0.42,-0.677
"Feb 26, 2015",-0.436,-0.611,-0.371,-0.487,-0.737,-0.726,-0.656,-0.437,-0.399,-0.688
"Mar 6, 2015",-0.415,-0.548,-0.312,-0.451,-0.747,-0.753,-0.699,-0.431,-0.445,-0.716
"Mar 14, 2015",-0.462,-0.588,-0.297,-0.548,-0.689,-0.713,-0.651,-0.401,-0.372,-0.707
"Mar 22, 2015",-0.414,-0.48,-0.311,-0.498,-0.643,-0.679,-0.62,-0.335,-0.372,-0.654
"Mar 30, 2015",-0.348,-0.329,-0.361,-0.382,-0.44,-0.457,-0.471,-0.312,-0.31,-0.495
"Apr 7, 2015",-0.326,-0.314,-0.327,-0.31,-0.437,-0.393,-0.421,-0.312,-0.365,-0.384
"Apr 15, 2015",-0.287,-0.304,-0.333,-0.279,-0.346,-0.35,-0.344,-0.279,-0.328,-0.337
"Apr 23, 2015",-0.279,-0.324,-0.299,-0.315,-0.318,-0.33,-0.323,-0.284,-0.318,-0.343
"May 1, 2015",-0.275,-0.339,-0.279,-0.282,-0.34,-0.302,-0.302,-0.266,-0.31,-0.334
"May 9, 2015",-0.251,-0.294,-0.327,-0.245,-0.278,-0.215,-0.273,-0.245,-0.282,-0.268
"May 17, 2015",-0.243,-0.28,-0.298,-0.214,-0.245,-0.229,-0.261,-0.229,-0.277,-0.259
"May 25, 2015",-0.243,-0.279,-0.292,-0.22,-0.242,-0.228,-0.265,-0.239,-0.289,-0.268
"Jun 2, 2015",-0.257,-0.311,-0.317,-0.266,-0.26,-0.318,-0.287,-0.253,-0.257,-0.301
"Jun 10, 2015",-0.241,-0.281,-0.251,-0.228,-0.257,-0.35,-0.292,-0.232,-0.244,-0.29
"Jun 18, 2015",-0.239,-0.291,-0.327,-0.242,-0.328,-0.362,-0.279,-0.255,-0.28,-0.284
"Jun 26, 2015",-0.234,-0.257,-0.3,-0.213,-0.253,-0.315,-0.258,-0.253,-0.232,-0.318
"Jul 4, 2015",-0.181,-0.252,-0.15,-0.178,-0.127,-0.12,-0.247,-0.183,-0.202,-0.207
"Jul 12, 2015",-0.264,-0.3,-0.193,-0.283,-0.058,-0.375,-0.436,-0.324,-0.26,-0.44
"Jul 20, 2015",-0.277,-0.244,-0.084,-0.258,-0.319,-0.577,-0.501,-0.187,-0.181,-0.394
"Jul 28, 2015",-0.4,-0.34,-0.172,-0.11,-0.548,-0.588,-0.288,-0.392,-0.275,-0.441
"Aug 5, 2015",-0.362,-0.107,-0.09,-0.399,-0.168,-0.441,-0.442,-0.368,-0.23,-0.516
"Aug 13, 2015",-0.488,-0.509,-0.383,-0.455,-0.743,-0.727,-0.545,-0.524,-0.482,-0.601
"Aug 21, 2015",-0.52,-0.508,-0.405,-0.506,-0.673,-0.612,-0.607,-0.498,-0.461,-0.596
"Aug 29, 2015",-0.449,-0.538,-0.354,-0.434,-0.653,-0.675,-0.565,-0.481,-0.422,-0.532
"Sep 6, 2015",-0.444,-0.488,-0.387,-0.37,-0.657,-0.668,-0.526,-0.419,-0.383,-0.522
"Sep 14, 2015",-0.414,-0.473,-0.363,-0.36,-0.644,-0.68,-0.504,-0.397,-0.375,-0.514
"Sep 22, 2015",-0.375,-0.445,-0.346,-0.368,-0.712,-0.655,-0.517,-0.358,-0.357,-0.545
"Sep 30, 2015",-0.323,-0.425,-0.379,-0.38,-0.63,-0.64,-0.475,-0.334,-0.365,-0.527
"Oct 8, 2015",-0.289,-0.383,-0.298,-0.344,-0.605,-0.572,-0.438,-0.306,-0.349,-0.43
"Oct 16, 2015",-0.278,-0.326,-0.28,-0.336,-0.543,-0.504,-0.431,-0.289,-0.309,-0.407
"Oct 24, 2015",-0.262,-0.312,-0.316,-0.362,-0.44,-0.448,-0.446,-0.283,-0.287,-0.408
"Nov 1, 2015",-0.181,-0.224,-0.519,-0.26,-0.311,-0.23,-0.425,-0.157,-0.322,-0.321
"Nov 9, 2015",-0.247,-0.313,-0.283,-0.289,-0.302,-0.298,-0.363,-0.142,-0.347,-0.317
"Nov 17, 2015",-0.261,-0.352,-0.346,-0.303,-0.303,-0.306,-0.359,-0.273,-0.417,-0.324
"Nov 25, 2015",-0.226,-0.302,-0.277,-0.299,-0.263,-0.299,-0.307,-0.254,-0.392,-0.332
"Dec 3, 2015",-0.3,-0.382,-0.277,-0.36,-0.299,-0.246,-0.324,-0.328,-0.502,-0.371
"Dec 11, 2015",-0.25,-0.452,-0.323,-0.346,-0.379,-0.385,-0.395,-0.379,-0.539,-0.419
"Dec 19, 2015",-0.279,-0.499,-0.287,-0.439,-0.454,-0.502,-0.476,-0.406,-0.559,-0.487
"Dec 27, 2015",-0.359,-0.538,-0.328,-0.432,-0.708,-0.603,-0.502,-0.386,-0.537,-0.576
